avg_pick,name,player_id,pos,team,adp_rank,pts,points_rank,rank_diff,proj_pts,proj_pts_rank,proj_rank_diff,points_rank_diff
66.4,Mark Ingram II,13981,RB,NO,61,142.5,102.0,-41.0,174.8,88.0,-27.0,-14.0
66.6,Jaguars D/ST,60030,D/ST,Jaguars D/ST,62,109.0,142.0,-80.0,122.0,157.0,-95.0,15.0
66.7,Emmanuel Sanders,13295,WR,Den,63,198.2,59.0,4.0,191.1,70.0,-7.0,11.0
67.1,Michael Crabtree,12563,WR,Bal,64,132.7,115.0,-51.0,194.9,69.0,-5.0,-46.0
67.2,Drew Brees,2580,QB,NO,65,305.0,20.0,45.0,269.3,27.0,38.0,7.0
68.2,Rex Burkhead,15971,RB,NE,66,49.7,187.0,-121.0,171.0,93.0,-27.0,-94.0
72.2,Robert Woods,15880,WR,LAR,67,265.6,35.0,32.0,189.9,72.0,-5.0,37.0
74.8,Tevin Coleman,17689,RB,Atl,68,193.6,63.0,5.0,162.9,103.0,-35.0,40.0
75.5,Carlos Hyde,16777,RB,Jax,69,98.4,152.0,-83.0,145.3,123.0,-54.0,-29.0
75.9,Corey Davis,18320,WR,Ten,70,183.6,69.0,1.0,196.8,67.0,3.0,-2.0
77.5,Jordan Reed,15860,TE,Wsh,71,119.8,132.0,-61.0,180.7,84.0,-13.0,-48.0
77.9,Chris Thompson,15966,RB,Wsh,72,91.6,156.0,-84.0,156.1,109.0,-37.0,-47.0
78.4,Duke Johnson Jr.,17658,RB,Cle,73,132.0,116.0,-43.0,165.9,101.0,-28.0,-15.0
78.4,Ryan Fitzpatrick,8664,QB,TB,74,165.8,80.0,-6.0,49.0,195.0,-121.0,115.0
80.0,Marquise Goodwin,15839,WR,SF,75,87.4,159.0,-84.0,189.7,73.0,2.0,-86.0
80.4,Andrew Luck,14874,QB,Ind,76,327.9,13.0,63.0,284.4,12.0,64.0,-1.0
80.5,Adrian Peterson,10452,RB,Wsh,77,189.0,64.0,13.0,142.5,125.0,-48.0,61.0
81.2,Carson Wentz,17795,QB,Phi,78,193.7,61.0,17.0,278.8,16.0,62.0,-45.0
82.3,Sammy Watkins,16725,WR,KC,79,115.1,136.0,-57.0,187.4,76.0,3.0,-60.0
